2023-11-25 18:17:59.010 | SUCCESS  | src.main:start:206 - Parser started..
2023-11-25 18:17:59.683 | INFO     | src.main:get_all_jobs:69 - Total count of jobs: 4577
2023-11-25 18:18:00.072 | ERROR    | src.main:start:217 - Failed to get jobs | Client error '400 Bad Request' for url 'https://job-search-api.svc.dhigroupinc.com/v1/dice/jobs/search?q=microsoft&countryCode2=US&radius=30&radiusUnit=mi&page=1&pageSize=4577&facets=employmentType%7CpostedDate%7CworkFromHomeAvailability%7CemployerType%7CeasyApply%7CisRemote&fields=id%7CjobId%7Cguid%7Csummary%7Ctitle%7CpostedDate%7CmodifiedDate%7CjobLocation.displayName%7CdetailsPageUrl%7Csalary%7CclientBrandId%7CcompanyPageUrl%7CcompanyLogoUrl%7CpositionId%7CcompanyName%7CemploymentType%7CisHighlighted%7Cscore%7CeasyApply%7CemployerType%7CworkFromHomeAvailability%7CisRemote%7Cdebug&culture=en&recommendations=true&interactionId=0&fj=true&includeRemote=true'
For more information check: https://httpstatuses.com/400 | Parser stopped..
2023-11-25 18:19:15.379 | SUCCESS  | src.main:start:217 - Parser started..
2023-11-25 18:19:16.061 | INFO     | src.main:get_all_jobs:69 - Total count of jobs: 4577
2023-11-25 18:19:28.889 | INFO     | src.main:get_jobs_details:180 - Thread 1 | Got 458 jobs
2023-11-25 18:19:28.890 | INFO     | src.main:get_jobs_details:180 - Thread 2 | Got 458 jobs
2023-11-25 18:19:28.890 | INFO     | src.main:get_jobs_details:180 - Thread 3 | Got 458 jobs
2023-11-25 18:19:28.890 | INFO     | src.main:get_jobs_details:180 - Thread 4 | Got 458 jobs
2023-11-25 18:19:28.890 | INFO     | src.main:get_jobs_details:180 - Thread 5 | Got 458 jobs
2023-11-25 18:19:28.891 | INFO     | src.main:get_jobs_details:180 - Thread 6 | Got 458 jobs
2023-11-25 18:19:28.891 | INFO     | src.main:get_jobs_details:180 - Thread 7 | Got 458 jobs
2023-11-25 18:19:28.891 | INFO     | src.main:get_jobs_details:180 - Thread 8 | Got 457 jobs
2023-11-25 18:19:28.891 | INFO     | src.main:get_jobs_details:180 - Thread 9 | Got 457 jobs
2023-11-25 18:19:28.892 | INFO     | src.main:get_jobs_details:180 - Thread 10 | Got 457 jobs
2023-11-25 18:19:29.682 | INFO     | src.main:get_job_details:170 - Thread: 1 | Got job offer for url: https://www.dice.com/job-detail/5e13449c-c1cd-4bde-88a5-f5e3780561c1
2023-11-25 18:19:29.722 | INFO     | src.main:get_job_details:170 - Thread: 8 | Got job offer for url: https://www.dice.com/job-detail/66cb4c5b-c925-418d-a22f-883ecdc3980d
2023-11-25 18:19:29.755 | INFO     | src.main:get_job_details:170 - Thread: 7 | Got job offer for url: https://www.dice.com/job-detail/0589d8ca-cb20-4a83-b1d0-9e91c5e26082
2023-11-25 18:19:29.770 | INFO     | src.main:get_job_details:170 - Thread: 9 | Got job offer for url: https://www.dice.com/job-detail/7f328a44-a47d-4464-8746-138c39694292
2023-11-25 18:19:29.800 | INFO     | src.main:get_job_details:170 - Thread: 2 | Got job offer for url: https://www.dice.com/job-detail/6cf4c9a5-0135-4ac7-8f05-419fec7a5953
2023-11-25 18:19:29.831 | INFO     | src.main:get_job_details:170 - Thread: 10 | Got job offer for url: https://www.dice.com/job-detail/339adf69-f0ea-413d-9474-da63b7bb8856
2023-11-25 18:19:29.858 | INFO     | src.main:get_job_details:170 - Thread: 6 | Got job offer for url: https://www.dice.com/job-detail/19863693-0f56-4032-aa83-2599e556c160
2023-11-25 18:19:29.868 | INFO     | src.main:get_job_details:170 - Thread: 3 | Got job offer for url: https://www.dice.com/job-detail/6639d2a5-62b3-461d-9fe4-3b6e824a77f9
2023-11-25 18:19:29.908 | INFO     | src.main:get_job_details:170 - Thread: 5 | Got job offer for url: https://www.dice.com/job-detail/c6b2778f-bdd4-4253-8f03-093b71d8d953
2023-11-25 18:19:29.979 | INFO     | src.main:get_job_details:170 - Thread: 4 | Got job offer for url: https://www.dice.com/job-detail/682359e1-2ae9-44ee-9559-ba3ab9456375
2023-11-25 18:19:30.053 | INFO     | src.main:get_job_details:170 - Thread: 1 | Got job offer for url: https://www.dice.com/job-detail/f2d35bbe-19f7-41cd-b7a8-41624457f510
2023-11-25 18:19:30.191 | INFO     | src.main:get_job_details:170 - Thread: 10 | Got job offer for url: https://www.dice.com/job-detail/a271a172-6124-4413-9b8e-23c9e78803fe
2023-11-25 18:19:30.263 | INFO     | src.main:get_job_details:170 - Thread: 3 | Got job offer for url: https://www.dice.com/job-detail/0421c463-7814-4651-89ac-14217e62ae4f
2023-11-25 18:19:30.273 | INFO     | src.main:get_job_details:170 - Thread: 5 | Got job offer for url: https://www.dice.com/job-detail/0de1412f-8726-479b-9477-b57bae538f86
2023-11-25 18:19:30.288 | INFO     | src.main:get_job_details:170 - Thread: 6 | Got job offer for url: https://www.dice.com/job-detail/b84518e7-9009-4446-b0cf-36d0de01c5b7
2023-11-25 18:19:30.334 | INFO     | src.main:get_job_details:170 - Thread: 7 | Got job offer for url: https://www.dice.com/job-detail/e4e4773d-98f5-4983-80d1-9b0fb319126a
2023-11-25 18:19:30.343 | INFO     | src.main:get_job_details:170 - Thread: 4 | Got job offer for url: https://www.dice.com/job-detail/4fe23a05-e578-4e61-b0ef-56db94de6c04
2023-11-25 18:19:30.397 | INFO     | src.main:get_job_details:170 - Thread: 1 | Got job offer for url: https://www.dice.com/job-detail/5c50f5e4-0e7e-4a9e-9072-8f949d5cc7d0
2023-11-25 18:19:30.450 | INFO     | src.main:get_job_details:170 - Thread: 9 | Got job offer for url: https://www.dice.com/job-detail/ffc93b6e-f9b2-45d8-b1b6-b5bbe2d67e91
2023-11-25 18:19:30.457 | INFO     | src.main:get_job_details:170 - Thread: 8 | Got job offer for url: https://www.dice.com/job-detail/69384fac-e09e-455f-95b7-735cf4666830
2023-11-25 18:19:30.519 | INFO     | src.main:get_job_details:170 - Thread: 10 | Got job offer for url: https://www.dice.com/job-detail/c1580aa1-dd7b-4d16-9e4f-40c741a16f5e
2023-11-25 18:19:30.608 | INFO     | src.main:get_job_details:170 - Thread: 3 | Got job offer for url: https://www.dice.com/job-detail/3725899d-d0f2-49a5-8ac5-fb718d4c576f
2023-11-25 18:19:30.617 | INFO     | src.main:get_job_details:170 - Thread: 2 | Got job offer for url: https://www.dice.com/job-detail/aca98dee-9e58-4885-a16e-ae4ebea787c7
2023-11-25 18:19:30.633 | INFO     | src.main:get_job_details:170 - Thread: 6 | Got job offer for url: https://www.dice.com/job-detail/c68921cc-6864-4371-910a-a4c6aa1e52da
2023-11-25 18:19:30.642 | INFO     | src.main:get_job_details:170 - Thread: 5 | Got job offer for url: https://www.dice.com/job-detail/0cb94001-abe3-4831-b41e-e1f53b1a2156
2023-11-25 18:19:30.720 | INFO     | src.main:get_job_details:170 - Thread: 4 | Got job offer for url: https://www.dice.com/job-detail/a27c1e9c-5a12-4760-b43a-e8a66a7859e4
2023-11-25 18:19:30.756 | INFO     | src.main:get_job_details:170 - Thread: 7 | Got job offer for url: https://www.dice.com/job-detail/9747fb46-fe7c-4d6d-9eec-e576e503ad6b
2023-11-25 18:19:30.815 | INFO     | src.main:get_job_details:170 - Thread: 8 | Got job offer for url: https://www.dice.com/job-detail/f1f0c634-499c-4bb6-bc72-35bdc74dc232
2023-11-25 18:19:30.837 | INFO     | src.main:get_job_details:170 - Thread: 1 | Got job offer for url: https://www.dice.com/job-detail/f516b46d-2b6e-4f08-bab5-d4d1583798e0
2023-11-25 18:19:30.863 | INFO     | src.main:get_job_details:170 - Thread: 10 | Got job offer for url: https://www.dice.com/job-detail/10f2aacc-858d-4f48-bf41-f98adac59bef
2023-11-25 18:19:30.951 | INFO     | src.main:get_job_details:170 - Thread: 3 | Got job offer for url: https://www.dice.com/job-detail/55f5071b-1704-424b-bb4b-ce4c911fbc71
2023-11-25 18:19:30.972 | INFO     | src.main:get_job_details:170 - Thread: 6 | Got job offer for url: https://www.dice.com/job-detail/d2be585c-4ac5-4b9c-b461-eaeafcc93dd1
2023-11-25 18:19:31.002 | INFO     | src.main:get_job_details:170 - Thread: 5 | Got job offer for url: https://www.dice.com/job-detail/26f7368c-7d2e-4f3a-bfa7-1807d60615a3
2023-11-25 18:19:31.011 | INFO     | src.main:get_job_details:170 - Thread: 9 | Got job offer for url: https://www.dice.com/job-detail/244102b2-3c61-400f-98d0-47dd1636c1c5
2023-11-25 18:19:31.095 | INFO     | src.main:get_job_details:170 - Thread: 4 | Got job offer for url: https://www.dice.com/job-detail/66214f45-f19f-4199-a07c-f7fef9ea937a
2023-11-25 18:19:31.105 | INFO     | src.main:get_job_details:170 - Thread: 7 | Got job offer for url: https://www.dice.com/job-detail/69b67481-143d-4a65-902f-e82eb15af6c5
2023-11-25 18:19:31.236 | INFO     | src.main:get_job_details:170 - Thread: 10 | Got job offer for url: https://www.dice.com/job-detail/50c54d23-7e84-4d60-a524-660bd302d657
2023-11-25 18:19:31.330 | INFO     | src.main:get_job_details:170 - Thread: 3 | Got job offer for url: https://www.dice.com/job-detail/7386ba7f-fc4b-42ec-b5d3-e3c59e266993
2023-11-25 18:19:31.367 | INFO     | src.main:get_job_details:170 - Thread: 6 | Got job offer for url: https://www.dice.com/job-detail/88cce735-46ed-430d-9439-88f1dd9b212c
2023-11-25 18:19:31.380 | INFO     | src.main:get_job_details:170 - Thread: 5 | Got job offer for url: https://www.dice.com/job-detail/38105d7c-9dbe-479f-9509-ff1e74459d5b
2023-11-25 18:19:31.387 | INFO     | src.main:get_job_details:170 - Thread: 9 | Got job offer for url: https://www.dice.com/job-detail/744268d1-038b-415a-955f-38e6cfca9621
2023-11-25 18:19:31.395 | INFO     | src.main:get_job_details:170 - Thread: 2 | Got job offer for url: https://www.dice.com/job-detail/17d2b961-bc42-4dc3-8e30-a7cd84a2c9c3
2023-11-25 18:19:31.590 | INFO     | src.main:get_job_details:170 - Thread: 1 | Got job offer for url: https://www.dice.com/job-detail/f935d4d2-62d8-472b-9523-06744a3643f6
2023-11-25 18:19:31.615 | INFO     | src.main:get_job_details:170 - Thread: 10 | Got job offer for url: https://www.dice.com/job-detail/53ad801d-cdb1-4854-a483-d059f28d6341
2023-11-25 18:19:31.669 | INFO     | src.main:get_job_details:170 - Thread: 8 | Got job offer for url: https://www.dice.com/job-detail/9e1d36f8-8437-4d85-b779-f453d734b652
2023-11-25 18:19:31.679 | INFO     | src.main:get_job_details:170 - Thread: 3 | Got job offer for url: https://www.dice.com/job-detail/88a76621-2ec3-4be6-9751-785a04d1a174
2023-11-25 18:19:31.759 | INFO     | src.main:get_job_details:170 - Thread: 5 | Got job offer for url: https://www.dice.com/job-detail/ef0ce127-7366-4a5a-b2e0-6b2c05a918b2
2023-11-25 18:19:31.772 | INFO     | src.main:get_job_details:170 - Thread: 2 | Got job offer for url: https://www.dice.com/job-detail/2a1d42bc-1d1b-44ce-8f29-9ab557c27780
2023-11-25 18:19:31.782 | INFO     | src.main:get_job_details:170 - Thread: 6 | Got job offer for url: https://www.dice.com/job-detail/f7cffd10-6376-48c7-83f9-f968e2ef60c4
2023-11-25 18:19:31.801 | INFO     | src.main:get_job_details:170 - Thread: 9 | Got job offer for url: https://www.dice.com/job-detail/27dabfad-f459-476c-8db0-95dea1ebb7b2
2023-11-25 18:19:31.875 | INFO     | src.main:get_job_details:170 - Thread: 7 | Got job offer for url: https://www.dice.com/job-detail/c3acd364-a4d3-4f6c-80e8-91f5fe92008f
2023-11-25 18:19:31.950 | INFO     | src.main:get_job_details:170 - Thread: 1 | Got job offer for url: https://www.dice.com/job-detail/c27c7c22-491d-499a-8335-7c358a603398
2023-11-25 18:19:31.975 | INFO     | src.main:get_job_details:170 - Thread: 4 | Got job offer for url: https://www.dice.com/job-detail/906ccdad-548e-496e-8fd2-c3396bb7b615
2023-11-25 18:19:31.984 | INFO     | src.main:get_job_details:170 - Thread: 10 | Got job offer for url: https://www.dice.com/job-detail/d9b12351-f98c-459c-af0c-d56b034cefa4
2023-11-25 18:19:32.047 | INFO     | src.main:get_job_details:170 - Thread: 3 | Got job offer for url: https://www.dice.com/job-detail/2b7d513d-664d-4ee0-8757-bcf57245fbec
2023-11-25 18:19:32.054 | INFO     | src.main:get_job_details:170 - Thread: 8 | Got job offer for url: https://www.dice.com/job-detail/31c18cc3-8d6c-4443-99ff-54781c4fc6df
2023-11-25 18:19:32.104 | INFO     | src.main:get_job_details:170 - Thread: 2 | Got job offer for url: https://www.dice.com/job-detail/46f775e8-afb4-44e4-9f34-3cb3792b4fbd
2023-11-25 18:19:32.139 | INFO     | src.main:get_job_details:170 - Thread: 5 | Got job offer for url: https://www.dice.com/job-detail/a718f1fa-3202-4592-a545-93be2e56aaaa
2023-11-25 18:19:32.157 | INFO     | src.main:get_job_details:170 - Thread: 6 | Got job offer for url: https://www.dice.com/job-detail/faebecb9-cfb8-486a-bd30-861449964ec4
2023-11-25 18:19:32.181 | INFO     | src.main:get_job_details:170 - Thread: 9 | Got job offer for url: https://www.dice.com/job-detail/092527d0-1113-4ca2-8d83-0851fca7b1bf
2023-11-25 18:19:32.347 | INFO     | src.main:get_job_details:170 - Thread: 10 | Got job offer for url: https://www.dice.com/job-detail/29cc9f70-6ade-4eee-b562-c2f9837db931
